fecha,valor
2019-01-01,335661.30000000005
2019-02-01,334477.0
2019-03-01,324898.30000000005
2019-04-01,334322.89999999997
2019-05-01,329930.60000000003
2019-06-01,337267.10000000003
2019-07-01,341957.5
2019-08-01,310102.3
2019-09-01,311251.2
2019-10-01,312471.00000000006
2019-11-01,313299.1000000001
2019-12-01,323064.6
2020-01-01,324440.60000000003
2020-02-01,324369.9000000001
2020-03-01,323381.2
2020-04-01,323254.8
2020-05-01,324808.30000000005
2020-06-01,324552.39999999997
2020-07-01,328087.89999999997
2020-08-01,329479.50000000006
2020-09-01,332247.5
2020-10-01,333194.6999999999
2020-11-01,333253.80000000005
2020-12-01,335582.19999999995
2021-01-01,334929.2
2021-02-01,334883.79999999993
2021-03-01,335556.1
2021-04-01,338332.10000000003
2021-05-01,341091.8
2021-06-01,343523.9
2021-07-01,345140.3
2021-08-01,345870.4000000001
2021-09-01,342620.1
2021-10-01,349229.10000000003
2021-11-01,354422.3
2021-12-01,363232.5999999999
2022-01-01,365747.6
2022-02-01,366626.30000000005
2022-03-01,376300.4
2022-04-01,374198.89999999997
2022-05-01,374577.8
2022-06-01,378505.60000000003
2022-07-01,380772.69999999995
2022-08-01,381121.0
2022-09-01,382281.20000000007
2022-10-01,386272.39999999997
2022-11-01,386659.5
2022-12-01,396555.19999999995
2023-01-01,395856.29999999993
2023-02-01,394199.19999999995
2023-03-01,398245.69999999995
2023-04-01,396272.20000000007
2023-05-01,398833.19999999995
2023-06-01,403835.79999999993
2023-07-01,406133.9
2023-08-01,395758.29999999993
2023-09-01,406948.10000000003
2023-10-01,418019.0999999999
2023-11-01,425555.89999999997
2023-12-01,370673.39999999997
2024-01-01,381272.8
2024-02-01,386539.8
2024-03-01,403052.39999999997
2024-04-01,414035.60000000003
2024-05-01,435697.69999999995
2024-06-01,442514.9
2024-07-01,452070.5
2024-08-01,458408.7
2024-09-01,460068.80000000005
2024-10-01,463241.8
2024-11-01,464935.70000000007
2024-12-01,466921.1999999999
2025-01-01,467794.5999999999
2025-02-01,471163.7
2025-03-01,473560.8
2025-04-01,472917.99999999994
2025-05-01,461017.2
2025-06-01,465353.10000000003
2025-07-01,447177.10000000003
2025-08-01,454263.4
2025-09-01,454037.0
2025-10-01,443238.49999999994
2025-11-01,447031.7
2025-12-01,455076.70000000007
2026-01-01,460938.3
2026-02-01,472133.60000000003
2026-03-01,483854.5
