fecha,indicador,bloque,unidad,valor
2018-04-01,Dólar CCL,monetario_financiero,$/USD (venta),20.23
2018-04-02,Dólar CCL,monetario_financiero,$/USD (venta),20.23
2018-04-03,Dólar CCL,monetario_financiero,$/USD (venta),20.23
2018-04-04,Dólar CCL,monetario_financiero,$/USD (venta),20.23
2018-04-05,Dólar CCL,monetario_financiero,$/USD (venta),20.23
2018-04-06,Dólar CCL,monetario_financiero,$/USD (venta),20.23
2018-04-07,Dólar CCL,monetario_financiero,$/USD (venta),20.23
2018-04-08,Dólar CCL,monetario_financiero,$/USD (venta),20.23
2018-04-09,Dólar CCL,monetario_financiero,$/USD (venta),20.25
2018-04-10,Dólar CCL,monetario_financiero,$/USD (venta),20.3
2018-04-11,Dólar CCL,monetario_financiero,$/USD (venta),20.2
2018-04-12,Dólar CCL,monetario_financiero,$/USD (venta),20.19
2018-04-13,Dólar CCL,monetario_financiero,$/USD (venta),20.19
2018-04-14,Dólar CCL,monetario_financiero,$/USD (venta),20.19
2018-04-15,Dólar CCL,monetario_financiero,$/USD (venta),20.19
2018-04-16,Dólar CCL,monetario_financiero,$/USD (venta),20.21
2018-04-17,Dólar CCL,monetario_financiero,$/USD (venta),20.18
2018-04-18,Dólar CCL,monetario_financiero,$/USD (venta),20.19
2018-04-19,Dólar CCL,monetario_financiero,$/USD (venta),20.14
2018-04-20,Dólar CCL,monetario_financiero,$/USD (venta),20.23
2018-04-21,Dólar CCL,monetario_financiero,$/USD (venta),20.23
2018-04-22,Dólar CCL,monetario_financiero,$/USD (venta),20.23
2018-04-23,Dólar CCL,monetario_financiero,$/USD (venta),20.24
2018-04-24,Dólar CCL,monetario_financiero,$/USD (venta),20.26
2018-04-25,Dólar CCL,monetario_financiero,$/USD (venta),20.23
2018-04-26,Dólar CCL,monetario_financiero,$/USD (venta),20.22
2018-04-27,Dólar CCL,monetario_financiero,$/USD (venta),20.83
2018-04-28,Dólar CCL,monetario_financiero,$/USD (venta),20.83
2018-04-29,Dólar CCL,monetario_financiero,$/USD (venta),20.83
2018-04-30,Dólar CCL,monetario_financiero,$/USD (venta),20.83
2018-05-01,Dólar CCL,monetario_financiero,$/USD (venta),20.83
2018-05-02,Dólar CCL,monetario_financiero,$/USD (venta),20.66
2018-05-03,Dólar CCL,monetario_financiero,$/USD (venta),21.29
2018-05-04,Dólar CCL,monetario_financiero,$/USD (venta),22.75
2018-05-05,Dólar CCL,monetario_financiero,$/USD (venta),22.75
2018-05-06,Dólar CCL,monetario_financiero,$/USD (venta),22.75
2018-05-07,Dólar CCL,monetario_financiero,$/USD (venta),22.03
2018-05-08,Dólar CCL,monetario_financiero,$/USD (venta),22.38
2018-05-09,Dólar CCL,monetario_financiero,$/USD (venta),22.38
2018-05-10,Dólar CCL,monetario_financiero,$/USD (venta),22.68
2018-05-11,Dólar CCL,monetario_financiero,$/USD (venta),22.6
2018-05-12,Dólar CCL,monetario_financiero,$/USD (venta),22.6
2018-05-13,Dólar CCL,monetario_financiero,$/USD (venta),22.6
2018-05-14,Dólar CCL,monetario_financiero,$/USD (venta),24.13
2018-05-15,Dólar CCL,monetario_financiero,$/USD (venta),25.73
2018-05-16,Dólar CCL,monetario_financiero,$/USD (venta),24.8
2018-05-17,Dólar CCL,monetario_financiero,$/USD (venta),24.91
2018-05-18,Dólar CCL,monetario_financiero,$/USD (venta),24.91
2018-05-19,Dólar CCL,monetario_financiero,$/USD (venta),24.91
2018-05-20,Dólar CCL,monetario_financiero,$/USD (venta),24.91
2018-05-21,Dólar CCL,monetario_financiero,$/USD (venta),24.91
2018-05-22,Dólar CCL,monetario_financiero,$/USD (venta),24.49
2018-05-23,Dólar CCL,monetario_financiero,$/USD (venta),24.32
2018-05-24,Dólar CCL,monetario_financiero,$/USD (venta),24.42
2018-05-25,Dólar CCL,monetario_financiero,$/USD (venta),24.42
2018-05-26,Dólar CCL,monetario_financiero,$/USD (venta),24.42
2018-05-27,Dólar CCL,monetario_financiero,$/USD (venta),24.42
2018-05-28,Dólar CCL,monetario_financiero,$/USD (venta),24.42
2018-05-29,Dólar CCL,monetario_financiero,$/USD (venta),24.74
2018-05-30,Dólar CCL,monetario_financiero,$/USD (venta),24.93
2018-05-31,Dólar CCL,monetario_financiero,$/USD (venta),24.96
2018-06-01,Dólar CCL,monetario_financiero,$/USD (venta),25.02
2018-06-02,Dólar CCL,monetario_financiero,$/USD (venta),25.02
2018-06-03,Dólar CCL,monetario_financiero,$/USD (venta),25.02
2018-06-04,Dólar CCL,monetario_financiero,$/USD (venta),25.17
2018-06-05,Dólar CCL,monetario_financiero,$/USD (venta),24.99
2018-06-06,Dólar CCL,monetario_financiero,$/USD (venta),25.12
2018-06-07,Dólar CCL,monetario_financiero,$/USD (venta),25.05
2018-06-08,Dólar CCL,monetario_financiero,$/USD (venta),25.03
2018-06-09,Dólar CCL,monetario_financiero,$/USD (venta),25.03
2018-06-10,Dólar CCL,monetario_financiero,$/USD (venta),25.03
2018-06-11,Dólar CCL,monetario_financiero,$/USD (venta),25.49
2018-06-12,Dólar CCL,monetario_financiero,$/USD (venta),26.05
2018-06-13,Dólar CCL,monetario_financiero,$/USD (venta),26.7
2018-06-14,Dólar CCL,monetario_financiero,$/USD (venta),26.27
2018-06-15,Dólar CCL,monetario_financiero,$/USD (venta),28.18
2018-06-16,Dólar CCL,monetario_financiero,$/USD (venta),28.18
2018-06-17,Dólar CCL,monetario_financiero,$/USD (venta),28.18
2018-06-18,Dólar CCL,monetario_financiero,$/USD (venta),28.51
2018-06-19,Dólar CCL,monetario_financiero,$/USD (venta),27.6
2018-06-20,Dólar CCL,monetario_financiero,$/USD (venta),27.6
2018-06-21,Dólar CCL,monetario_financiero,$/USD (venta),28.23
2018-06-22,Dólar CCL,monetario_financiero,$/USD (venta),28.07
2018-06-23,Dólar CCL,monetario_financiero,$/USD (venta),28.07
2018-06-24,Dólar CCL,monetario_financiero,$/USD (venta),28.07
2018-06-25,Dólar CCL,monetario_financiero,$/USD (venta),27.36
2018-06-26,Dólar CCL,monetario_financiero,$/USD (venta),27.19
2018-06-27,Dólar CCL,monetario_financiero,$/USD (venta),27.29
2018-06-28,Dólar CCL,monetario_financiero,$/USD (venta),27.29
2018-06-29,Dólar CCL,monetario_financiero,$/USD (venta),28.23
2018-06-30,Dólar CCL,monetario_financiero,$/USD (venta),28.23
2018-07-01,Dólar CCL,monetario_financiero,$/USD (venta),28.23
2018-07-02,Dólar CCL,monetario_financiero,$/USD (venta),28.64
2018-07-03,Dólar CCL,monetario_financiero,$/USD (venta),28.67
2018-07-04,Dólar CCL,monetario_financiero,$/USD (venta),28.67
2018-07-05,Dólar CCL,monetario_financiero,$/USD (venta),27.98
2018-07-06,Dólar CCL,monetario_financiero,$/USD (venta),28.27
2018-07-07,Dólar CCL,monetario_financiero,$/USD (venta),28.27
2018-07-08,Dólar CCL,monetario_financiero,$/USD (venta),28.27
2018-07-09,Dólar CCL,monetario_financiero,$/USD (venta),28.27
