fecha,serie,valor
2019-06-01,Cartera irregular total,4.922307345287892
2019-07-01,Cartera irregular total,4.8231595686246616
2019-08-01,Cartera irregular total,4.82700309648606
2019-09-01,Cartera irregular total,4.594067395135245
2019-10-01,Cartera irregular total,4.409240305203581
2019-11-01,Cartera irregular total,4.413107275962689
2019-12-01,Cartera irregular total,4.17087517421628
2020-01-01,Cartera irregular total,4.2051981388263036
2020-02-01,Cartera irregular total,4.307221222345747
2020-03-01,Cartera irregular total,3.03173531811056
2020-04-01,Cartera irregular total,3.113332707437224
2020-05-01,Cartera irregular total,3.1096419021665875
2020-06-01,Cartera irregular total,3.0404111489624195
2020-07-01,Cartera irregular total,3.1084386397390595
2020-08-01,Cartera irregular total,3.0239075251898897
2020-09-01,Cartera irregular total,2.7136229203062086
2020-10-01,Cartera irregular total,2.427568254955136
2020-11-01,Cartera irregular total,2.206355073574123
2020-12-01,Cartera irregular total,1.8970464873988007
2021-01-01,Cartera irregular total,1.8086221177421817
2021-02-01,Cartera irregular total,1.7022599235925684
2021-03-01,Cartera irregular total,1.9916861884676267
2021-04-01,Cartera irregular total,2.5668657503135113
2021-05-01,Cartera irregular total,2.9432098845930983
2021-06-01,Cartera irregular total,4.119675724104883
2021-07-01,Cartera irregular total,5.057665768331383
2021-08-01,Cartera irregular total,5.05465486839241
2021-09-01,Cartera irregular total,4.761181804979822
2021-10-01,Cartera irregular total,4.657056618777949
2021-11-01,Cartera irregular total,4.299468213482736
2021-12-01,Cartera irregular total,4.177217710117682
2022-01-01,Cartera irregular total,4.069049835844999
2022-02-01,Cartera irregular total,3.9172711865189385
2022-03-01,Cartera irregular total,3.7293710488231198
2022-04-01,Cartera irregular total,3.5199358254509447
2022-05-01,Cartera irregular total,3.332981359646424
2022-06-01,Cartera irregular total,3.2290583527905556
2022-07-01,Cartera irregular total,3.221108005749903
2022-08-01,Cartera irregular total,3.1202578947151838
2022-09-01,Cartera irregular total,3.016411153621276
2022-10-01,Cartera irregular total,3.01582756575188
2022-11-01,Cartera irregular total,2.8621368090415658
2022-12-01,Cartera irregular total,3.0362601517414314
2023-01-01,Cartera irregular total,3.1247847463064553
2023-02-01,Cartera irregular total,3.14537710310306
2023-03-01,Cartera irregular total,3.2749905634025076
2023-04-01,Cartera irregular total,3.262343355144109
2023-05-01,Cartera irregular total,3.1990837747193828
2023-06-01,Cartera irregular total,3.3125550941849187
2023-07-01,Cartera irregular total,3.3199196616400575
2023-08-01,Cartera irregular total,3.1406388407768207
2023-09-01,Cartera irregular total,3.083761541268544
2023-10-01,Cartera irregular total,2.846938807800363
2023-11-01,Cartera irregular total,2.6950246175325243
2023-12-01,Cartera irregular total,2.784692843264294
2024-01-01,Cartera irregular total,2.6996760221946174
2024-02-01,Cartera irregular total,2.605121098735076
2024-03-01,Cartera irregular total,2.6524153176309193
2024-04-01,Cartera irregular total,2.5892186333058107
2024-05-01,Cartera irregular total,2.7587009632315804
2024-06-01,Cartera irregular total,2.786364688776409
2024-07-01,Cartera irregular total,2.672201214095846
2024-08-01,Cartera irregular total,2.6624173216648614
2024-09-01,Cartera irregular total,2.63540936430396
2024-10-01,Cartera irregular total,2.489310113996647
2024-11-01,Cartera irregular total,2.5245236321711517
2024-12-01,Cartera irregular total,2.5534667508354887
2025-01-01,Cartera irregular total,2.6641852829108985
2025-02-01,Cartera irregular total,2.9392389465918027
2025-03-01,Cartera irregular total,3.256401130827736
2025-04-01,Cartera irregular total,3.6649595098608496
2025-05-01,Cartera irregular total,4.458750663201229
2025-06-01,Cartera irregular total,5.128268028903158
2025-07-01,Cartera irregular total,5.6486888742703
2025-08-01,Cartera irregular total,6.6005613079305885
2025-09-01,Cartera irregular total,7.277163079351115
2025-10-01,Cartera irregular total,7.75652282249225
2025-11-01,Cartera irregular total,8.822416332564705
2025-12-01,Cartera irregular total,9.333065842263723
2026-01-01,Cartera irregular total,10.606166918361486
2026-02-01,Cartera irregular total,11.22059965886106
2026-03-01,Cartera irregular total,11.633960256022032
2026-04-01,Cartera irregular total,12.090258471830438
2026-05-01,Cartera irregular total,12.795302382570279
2010-01-01,Personales,6.038333921898983
2010-02-01,Personales,5.907889903670379
2010-03-01,Personales,5.660711052175463
2010-04-01,Personales,5.396085006718515
2010-05-01,Personales,5.319288902683961
2010-06-01,Personales,4.875913658149187
2010-07-01,Personales,4.866856192416395
2010-08-01,Personales,4.67950205360449
2010-09-01,Personales,4.380922585838968
2010-10-01,Personales,4.179312097960025
2010-11-01,Personales,3.9859364590051225
2010-12-01,Personales,3.6581721248945236
2011-01-01,Personales,3.512581772940809
2011-02-01,Personales,3.3540472060565674
2011-03-01,Personales,3.1309472780098524
2011-04-01,Personales,3.0606195399852694
2011-05-01,Personales,3.061015416677717
2011-06-01,Personales,2.968323135699359
2011-07-01,Personales,2.852259442481204
2011-08-01,Personales,2.7400967807400334
2011-09-01,Personales,2.627360388156778
2011-10-01,Personales,2.6190216950404204
2011-11-01,Personales,2.581619662746801
2011-12-01,Personales,2.593316762760904
2012-01-01,Personales,2.7050065662465363
2012-02-01,Personales,2.8152408685985435
2012-03-01,Personales,2.8637675819974437
2012-04-01,Personales,3.0619601839708586
2012-05-01,Personales,3.2084433429206713
2012-06-01,Personales,2.9749431361175036
2012-07-01,Personales,3.0989835649223973
2012-08-01,Personales,3.165445701666518
2012-09-01,Personales,2.9929437277421247
2012-10-01,Personales,3.1378293627459244
2012-11-01,Personales,3.1445505119213117
2012-12-01,Personales,3.267991124098097
2013-01-01,Personales,3.3020799800671927
2013-02-01,Personales,3.4246036804650255
2013-03-01,Personales,3.2381641568180983
2013-04-01,Personales,3.3929278124778612
2013-05-01,Personales,3.4338448819211007
2013-06-01,Personales,3.4790307587608855
2013-07-01,Personales,3.45994850255218
2013-08-01,Personales,3.4445603097084145
2013-09-01,Personales,3.2569513983163176
2013-10-01,Personales,3.2106657429466856
2013-11-01,Personales,3.159732437101712
2013-12-01,Personales,3.041926984180993
2014-01-01,Personales,3.0616435165053373
2014-02-01,Personales,3.1913037979356385
2014-03-01,Personales,3.2894319000957934
2014-04-01,Personales,3.435857319348732
2014-05-01,Personales,3.6641662040615484
2014-06-01,Personales,3.7056464584603406
2014-07-01,Personales,3.719560096147631
2014-08-01,Personales,3.8024368717952584
2014-09-01,Personales,3.6168882599369123
2014-10-01,Personales,3.526460948625075
